Brand;Retailer ID;Invoice Date;Region;State;City;Units Sold;Operating Profit;Operating Margin;Sales Method;Product Name;Product ID
NIKE;1197831;29/07/2020;South;Texas;Houston;500;$60.000 ;30%;Outlet;Air Jordan 1 Low SE;CK3022-005
NIKE;1197831;30/07/2020;South;Texas;Houston;700;$122.500 ;50%;Outlet;NikeCourt Air Max Wildcard;AO7351-104
NIKE;1197831;31/07/2020;South;Texas;Houston;875;$91.875 ;35%;Outlet;Nike Blazer Low;AJ9515-001
NIKE;1197831;01/08/2020;South;Texas;Houston;875;$122.500 ;35%;Outlet;Zoom LeBron 3 QS;AO2434-101
NIKE;1197831;02/08/2020;South;Texas;Houston;700;$85.750 ;35%;Outlet;Nike Free Metcon 3;CJ0861-010
NIKE;1197831;03/08/2020;South;Texas;Houston;600;$108.000 ;45%;Outlet;KD Trey 5 VII EP;AT1198-401
NIKE;1197831;04/08/2020;South;Texas;Houston;500;$67.500 ;30%;Outlet;Nike Mercurial Vapor 13 Academy TF;AT7996-606
NIKE;1197831;05/08/2020;South;Texas;Houston;650;$130.000 ;50%;Outlet;Jordan React Havoc SE;CK2772-101
NIKE;1197831;06/08/2020;South;Texas;Houston;900;$94.500 ;35%;Outlet;Nike SB Air Max Stefan Janoski 2;AQ7477-009
NIKE;1197831;07/08/2020;South;Texas;Houston;900;$126.000 ;35%;Outlet;Nike Free RN Flyknit 3.0;AQ5707-001
NIKE;1197831;08/08/2020;South;Texas;Houston;725;$88.813 ;35%;Outlet;Nike ISPA Joyride Envelope;BV4584-001
NIKE;1197831;09/08/2020;South;Texas;Houston;625;$112.500 ;45%;Outlet;Nike Mercurial Superfly 7 Elite SE FG;CD6721-808
NIKE;1197831;10/08/2020;South;Texas;Houston;525;$70.875 ;30%;Outlet;Nike Phantom Venom Academy FG;AO0566-606
NIKE;1197831;11/08/2020;South;Texas;Houston;800;$160.000 ;50%;Outlet;Nike Air Ghost Racer;AT5410-003
NIKE;1197831;12/08/2020;South;Texas;Houston;925;$97.125 ;35%;Outlet;Nike ACG Air Terra Antarktik;BV6348-300
NIKE;1197831;13/08/2020;South;Texas;Houston;925;$129.500 ;35%;Outlet;Nike Air Max 2 Light;CI3703-401
NIKE;1197831;14/08/2020;South;Texas;Houston;775;$94.938 ;35%;Outlet;Nike Mercurial Superfly 7 Academy MG;AT7946-414
NIKE;1197831;15/08/2020;South;Texas;Houston;700;$126.000 ;45%;Outlet;Nike AlphaDunk;BQ5401-001
NIKE;1197831;16/08/2020;South;Texas;Houston;600;$81.000 ;30%;Outlet;Nike Daybreak SP;BV7725-500
NIKE;1197831;17/08/2020;South;Texas;Houston;950;$190.000 ;50%;Outlet;Nike x MMW Joyride CC3 Setter;CU7623-002
NIKE;1197831;18/08/2020;South;Texas;Houston;950;$133.000 ;35%;Outlet;Nike Air Max 95 SP;CK5669-400
NIKE;1197831;19/08/2020;South;Texas;Houston;950;$149.625 ;35%;Outlet;Nike SB Blazer Low GT;704939-103
NIKE;1197831;20/08/2020;South;Texas;Houston;800;$112.000 ;35%;Outlet;LeBron 17 Monstars;CD5050-400
NIKE;1197831;21/08/2020;South;Texas;Houston;750;$135.000 ;45%;Outlet;Kyrie 5 x Bandulu;CK5836-100
NIKE;1197831;22/08/2020;South;Texas;Houston;650;$87.750 ;30%;Outlet;Nike Air Max Impact;CI1396-600
NIKE;1197831;23/08/2020;South;Texas;Houston;1.000;$250.000 ;50%;Outlet;Nike Air Max 90 QS;CD0916-001
NIKE;1197831;24/08/2020;South;Texas;Houston;950;$133.000 ;35%;Outlet;Nike React Element 55 SE;BV1507-001
NIKE;1197831;25/08/2020;South;Texas;Houston;950;$149.625 ;35%;Outlet;Jordan Proto-Max 720;BQ6623-070
NIKE;1197831;26/08/2020;South;Texas;Houston;1.100;$154.000 ;35%;Outlet;Nike Phantom Vision 2 Academy Dynamic Fit MG;CD4156-606
NIKE;1197831;27/08/2020;South;Texas;Houston;700;$126.000 ;45%;Outlet;Nike React Element 55 SE;CI3831-200
NIKE;1197831;28/08/2020;South;Texas;Houston;700;$94.500 ;30%;Outlet;Nike Air Max2 Light;AO1741-003
NIKE;1197831;29/08/2020;South;Texas;Houston;975;$243.750 ;50%;Outlet;Nike Air Max 270;AH8050-100
NIKE;1197831;30/08/2020;South;Texas;Houston;925;$129.500 ;35%;Outlet;Nike Phantom Vision 2 Club Dynamic Fit MG;CD4159-606
NIKE;1197831;31/08/2020;South;Texas;Houston;925;$145.688 ;35%;Outlet;Nike Air Force 1 '07 LV8;CK4363-100
NIKE;1197831;01/09/2020;South;Texas;Houston;1.100;$154.000 ;35%;Outlet;Nike Air Max 90;CN8490-100
NIKE;1197831;02/09/2020;South;Texas;Houston;650;$117.000 ;45%;Outlet;Nike Free RN 5.0 2020;CI9921-001
NIKE;1197831;03/09/2020;South;Texas;Houston;650;$87.750 ;30%;Outlet;Nike Phantom Vision Academy Dynamic Fit TF;AO3269-717
NIKE;1197831;04/09/2020;South;Texas;Houston;900;$225.000 ;50%;Outlet;Nike ACG MOC 3.0;CI9367-301
NIKE;1197831;05/09/2020;South;Texas;Houston;850;$133.875 ;35%;Outlet;Nike Mercurial Vapor 13 Academy Neymar Jr. MG;AT7960-104
NIKE;1197831;06/09/2020;South;Texas;Houston;850;$133.875 ;35%;Outlet;Nike Air DSVM;AT8179-100
NIKE;1197831;07/09/2020;South;Texas;Houston;900;$157.500 ;35%;Outlet;Nike x Carhartt WIP Air Max 95;AV3866-001
NIKE;1197831;08/09/2020;South;Texas;Houston;625;$140.625 ;45%;Outlet;Nike Odyssey React Flyknit 2;AH1015-010
NIKE;1197831;09/09/2020;South;Texas;Houston;625;$84.375 ;30%;Outlet;Nike Tiempo Legend 8 Elite FG;AT5293-004
NIKE;1197831;10/09/2020;South;Texas;Houston;850;$233.750 ;50%;Outlet;Nike Mercurial Superfly 7 Club MG;AT7949-606
NIKE;1197831;11/09/2020;South;Texas;Houston;800;$126.000 ;35%;Outlet;Nike Joyride CC3 Setter;AT6395-002
NIKE;1197831;12/09/2020;South;Texas;Houston;800;$126.000 ;35%;Outlet;Nike Renew Run;CK6357-005
NIKE;1197831;13/09/2020;South;Texas;Houston;750;$131.250 ;35%;Outlet;Nike React Ianga;AV5555-001
NIKE;1197831;14/09/2020;South;Texas;Houston;600;$135.000 ;45%;Outlet;Air Jordan 10 Retro;310805-137
NIKE;1197831;15/09/2020;South;Texas;Houston;575;$77.625 ;30%;Outlet;Air Jordan 12 Retro;130690-017
NIKE;1197831;16/09/2020;South;Texas;Houston;750;$206.250 ;50%;Outlet;Nike Air Max 270 React;CT1264-101
NIKE;1197831;20/10/2020;South;Texas;Houston;900;$141.750 ;35%;Outlet;Nike Air Max 200 SP;CK5668-600
NIKE;1197831;21/10/2020;South;Texas;Houston;900;$141.750 ;35%;Outlet;Nike Mercurial Superfly 7 Academy MDS MG;BQ5427-401
NIKE;1197831;22/10/2020;South;Texas;Houston;825;$144.375 ;35%;Outlet;Nike Air Zoom Winflo 6;AQ7497-300
NIKE;1197831;23/10/2020;South;Texas;Houston;675;$151.875 ;45%;Outlet;Nike Air Max 97;CT4526-100
NIKE;1197831;24/10/2020;South;Texas;Houston;650;$87.750 ;30%;Outlet;Nike Mercurial Vapor XII Club MG;AH7378-801
NIKE;1197831;25/10/2020;South;Texas;Houston;850;$233.750 ;50%;Outlet;Nike Zoom Fly 3 Premium;CJ0404-001
NIKE;1197831;26/10/2020;South;Texas;Houston;950;$149.625 ;35%;Outlet;Nike MX-720-818;CI3871-300
NIKE;1197831;27/10/2020;South;Texas;Houston;950;$149.625 ;35%;Outlet;Nike React Element 55;BQ2728-012
NIKE;1197831;28/10/2020;South;Texas;Houston;850;$148.750 ;35%;Outlet;Nike SB Charge Slip Premium;CT3110-400
NIKE;1197831;29/10/2020;South;Texas;Houston;700;$157.500 ;45%;Outlet;Nike Free RN 5.0 2020;CJ0270-601
NIKE;1197831;30/10/2020;South;Texas;Houston;650;$87.750 ;30%;Outlet;Nike ZoomX Vista Grind;CT8919-700
NIKE;1197831;31/10/2020;South;Texas;Houston;900;$247.500 ;50%;Outlet;Nike Air Force 1 React;CT1020-001
NIKE;1128299;01/11/2020;South;Texas;Houston;775;$108.500 ;35%;Outlet;PG 4 EP;CD5082-001
NIKE;1128299;02/11/2020;South;Texas;Houston;775;$77.500 ;20%;Outlet;Nike Air Zoom Pegasus 36;BV5739-500
NIKE;1128299;03/11/2020;South;Texas;Houston;775;$135.625 ;35%;Outlet;Nike Air Max 2090;CW4286-100
NIKE;1128299;04/11/2020;South;Texas;Houston;625;$93.750 ;30%;Outlet;Nike Air Force 1 '07 LV8;CD0887-201
NIKE;1128299;05/11/2020;West;California;San Francisco;575;$158.125 ;50%;Outlet;Kyrie 6 AS EP;CD5028-900
NIKE;1128299;06/11/2020;West;California;San Francisco;775;$58.125 ;15%;Outlet;Nike Air VaporMax Flyknit 3;AJ6900-102
NIKE;1128299;07/11/2020;West;California;San Francisco;825;$115.500 ;35%;Outlet;Nike Air Max Verona;CI9842-500
NIKE;1128299;08/11/2020;West;California;San Francisco;725;$72.500 ;20%;Outlet;Nike Air Force 1 Shadow;CI0919-100
NIKE;1128299;09/11/2020;West;California;San Francisco;725;$126.875 ;35%;Outlet;Nike Air Max Verona;CK7200-800
NIKE;1128299;10/11/2020;West;California;San Francisco;575;$86.250 ;30%;Outlet;Nike Air Tailwind 79;487754-303
NIKE;1128299;11/11/2020;West;California;San Francisco;500;$137.500 ;50%;Outlet;Nike TiempoX Lunar Legend VII Pro TF;AH7249-118
NIKE;1128299;12/11/2020;West;California;San Francisco;700;$52.500 ;15%;Outlet;Nike Air Max Plus III;CJ9684-001
NIKE;1128299;13/11/2020;West;California;San Francisco;850;$148.750 ;35%;Outlet;Nike Zoom 2K;AO0354-108
NIKE;1128299;14/11/2020;West;California;San Francisco;700;$84.000 ;20%;Outlet;Nike Zoom Pegasus Turbo 2;AT2863-100
NIKE;1128299;15/11/2020;West;California;San Francisco;700;$147.000 ;35%;Outlet;Nike Kawa Shower;832528-001
NIKE;1128299;22/12/2020;West;California;San Francisco;600;$108.000 ;30%;Outlet;Nike React Infinity Run Flyknit;CD4371-001
NIKE;1128299;23/12/2020;West;California;San Francisco;500;$162.500 ;50%;Outlet;Air Jordan XXXIII;AQ8830-016
NIKE;1128299;24/12/2020;West;California;San Francisco;700;$63.000 ;15%;Outlet;Nike Odyssey React;AO9819-001
NIKE;1128299;25/12/2020;West;California;San Francisco;875;$183.750 ;35%;Outlet;Nike Air Max 1 DNA Ch. 1;AR3863-101
NIKE;1128299;26/12/2020;West;California;San Francisco;675;$87.750 ;20%;Outlet;Nike Joyride Flyknit AW;CI3706-100
NIKE;1128299;27/12/2020;West;California;San Francisco;725;$164.938 ;35%;Outlet;Nike Legend React 2;AT1369-103
NIKE;1128299;28/12/2020;West;California;San Francisco;625;$112.500 ;30%;Outlet;Nike Metcon 5;AQ1189-009
NIKE;1128299;29/12/2020;West;California;San Francisco;525;$170.625 ;50%;Outlet;LeBron 7;CU5133-600
NIKE;1128299;30/12/2020;West;California;San Francisco;700;$84.000 ;15%;Outlet;Nike Air VaporMax 360;CK9670-100
NIKE;1128299;31/12/2020;West;California;San Francisco;900;$216.000 ;40%;Outlet;Nike Blazer Low QS Flyleather with at least 50% leather fibre;CI5546-100
NIKE;1128299;01/01/2021;West;California;San Francisco;750;$121.875 ;25%;Outlet;Nike SB Dunk High Pro;BQ6826-003
NIKE;1128299;02/01/2021;West;California;San Francisco;750;$195.000 ;40%;Outlet;Nike Air Max 90 FlyEase;CU0814-102
NIKE;1128299;03/01/2021;West;California;San Francisco;650;$136.500 ;35%;Outlet;Nike Metcon 5 AMP;CD3395-006
NIKE;1128299;04/01/2021;West;California;San Francisco;550;$196.625 ;55%;Outlet;Nike M2K Tekno;AV4789-104
NIKE;1128299;05/01/2021;West;California;San Francisco;725;$116.000 ;20%;Outlet;Nike React Kenny 55;CJ3312-001
NIKE;1128299;06/01/2021;West;California;San Francisco;975;$234.000 ;40%;Outlet;Nike Air VaporMax 2019;AR6631-004
NIKE;1128299;07/01/2021;West;California;San Francisco;825;$134.063 ;25%;Outlet;Nike React Element 55;BQ6166-003
NIKE;1128299;08/01/2021;West;California;San Francisco;825;$214.500 ;40%;Outlet;Nike Air Force 1 Low Retro;CQ0492-001
NIKE;1128299;09/01/2021;West;California;San Francisco;700;$147.000 ;35%;Outlet;NikeCourt Zoom Cage 3;918193-700
NIKE;1128299;10/01/2021;West;California;San Francisco;575;$205.563 ;55%;Outlet;Nike Air Max 90 Print;AQ0926-001
NIKE;1128299;11/01/2021;West;California;San Francisco;875;$140.000 ;20%;Outlet;Nike Metcon Sport;AQ7489-008
NIKE;1128299;12/01/2021;West;California;San Francisco;1.025;$215.250 ;35%;Outlet;Jordan Mars 270;CD7070-009
NIKE;1128299;13/01/2021;West;California;San Francisco;875;$113.750 ;20%;Outlet;Nike Air Zoom Vomero 14;AH7857-009
NIKE;1128299;14/01/2021;West;California;San Francisco;825;$187.688 ;35%;Outlet;Nike Air Max 720;CT5229-001
NIKE;1128299;15/01/2021;West;California;San Francisco;725;$130.500 ;30%;Outlet;Nike Mercurial Vapor 13 Academy MDS IC;CJ1300-401
NIKE;1128299;16/01/2021;West;California;San Francisco;775;$251.875 ;50%;Outlet;Nike Zoom Fly;880848-005
NIKE;1128299;17/01/2021;West;California;San Francisco;775;$93.000 ;15%;Outlet;Nike Zoom Fly 3;AT8240-003
NIKE;1128299;18/01/2021;West;California;San Francisco;975;$221.813 ;35%;Outlet;Nike Air Zoom Pegasus 35;942851-002
NIKE;1128299;19/01/2021;West;California;San Francisco;925;$129.500 ;20%;Outlet;Nike Air Zoom Pegasus 36 Trail;AR5677-200
NIKE;1128299;20/01/2021;West;California;San Francisco;800;$182.000 ;35%;Outlet;KD13 EP;CI9949-001
NIKE;1128299;21/01/2021;West;California;San Francisco;750;$146.250 ;30%;Outlet;Nike Phantom Vision Club Dynamic Fit FG;AJ6959-717
NIKE;1128299;22/01/2021;West;California;San Francisco;750;$281.250 ;50%;Outlet;Nike Air Monarch IV;415445-102
NIKE;1128299;23/01/2021;West;California;San Francisco;725;$87.000 ;15%;Outlet;Zoom Freak 1;BQ5422-200
NIKE;1128299;24/01/2021;West;California;San Francisco;925;$152.625 ;30%;Outlet;Nike Mercurial Superfly 7 Academy IC;AT7975-606
NIKE;1128299;25/01/2021;West;California;San Francisco;925;$83.250 ;15%;Outlet;Air Jordan 1 Low;553558-125
NIKE;1128299;26/01/2021;West;California;San Francisco;775;$127.875 ;30%;Outlet;Nike Air Max 95 Print;AQ0925-002
NIKE;1128299;27/01/2021;West;California;San Francisco;725;$99.688 ;25%;Outlet;Nike P-6000;CD6404-800
NIKE;1128299;28/01/2021;West;California;San Francisco;725;$212.063 ;45%;Outlet;Nike Mercurial Vapor 13 Elite FG;AQ4176-049
NIKE;1128299;29/01/2021;West;California;San Francisco;775;$54.250 ;10%;Outlet;Nike SB Adversary Premium;CT3632-001
NIKE;1128299;30/01/2021;West;California;San Francisco;875;$144.375 ;30%;Outlet;Nike Air VaporMax 360;CK2718-003
NIKE;1128299;31/01/2021;West;California;San Francisco;875;$78.750 ;15%;Outlet;Nike Air Max 720;AO2924-401
NIKE;1128299;01/02/2021;West;California;San Francisco;700;$115.500 ;30%;Outlet;Nike Zoom KD12;AR4229-003
NIKE;1128299;02/02/2021;West;California;San Francisco;675;$92.813 ;25%;Outlet;Nike Free X Metcon 2;AQ8306-407
NIKE;1128299;03/02/2021;West;California;San Francisco;650;$190.125 ;45%;Outlet;Nike Air Max 90;CD0881-104
NIKE;1128299;04/02/2021;West;California;San Francisco;700;$49.000 ;10%;Outlet;Air Jordan 4 Retro SE;CT5342-007
NIKE;1128299;05/02/2021;West;California;San Francisco;875;$144.375 ;30%;Outlet;Nike Air Max 95 Essential;CI3705-600
NIKE;1128299;06/02/2021;West;California;San Francisco;875;$78.750 ;15%;Outlet;Nike SB Zoom Stefan Janoski Canvas RM Premium;AQ7878-003
NIKE;1128299;07/02/2021;West;California;San Francisco;725;$119.625 ;30%;Outlet;Nike Phantom Venom Academy IC;AO0570-810
NIKE;1128299;08/02/2021;West;California;San Francisco;700;$96.250 ;25%;Outlet;Nike Air Max 270 React;CT5528-001
NIKE;1128299;09/02/2021;West;California;San Francisco;650;$190.125 ;45%;Outlet;Nike Zoom Rival Fly;CD7288-001
NIKE;1128299;10/02/2021;West;California;San Francisco;775;$54.250 ;10%;Outlet;Nike Mercurial Superfly 7 Academy MDS TF;BQ5435-703
NIKE;1128299;11/02/2021;West;California;San Francisco;975;$160.875 ;30%;Outlet;Nike Pegasus 36 FlyEase (Extra Wide);BV0612-001
NIKE;1128299;12/02/2021;West;California;San Francisco;975;$87.750 ;15%;Outlet;Nike ISPA Air Max 720;CD2182-001
NIKE;1128299;13/02/2021;West;California;San Francisco;775;$127.875 ;30%;Outlet;Air Jordan OG;133000-106
NIKE;1128299;14/02/2021;West;California;San Francisco;775;$106.563 ;25%;Outlet;Nike Air Max 270 React ENG;CJ0579-400
NIKE;1128299;15/02/2021;West;California;San Francisco;700;$204.750 ;45%;Outlet;Nike Epic Phantom React Flyknit;BV0417-401
NIKE;1128299;16/02/2021;West;California;San Francisco;800;$56.000 ;10%;Outlet;Nike Air Zoom Pegasus 36;AQ2203-003
